iso_code,country,reason,hover
BHR,Bahrain,No matching deaths-per-million record in dataset,<b>Bahrain</b><br>ISO3: BHR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BRB,Barbados,No matching deaths-per-million record in dataset,<b>Barbados</b><br>ISO3: BRB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BLR,Belarus,No matching deaths-per-million record in dataset,<b>Belarus</b><br>ISO3: BLR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BLZ,Belize,No matching deaths-per-million record in dataset,<b>Belize</b><br>ISO3: BLZ<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BMU,Bermuda,No matching deaths-per-million record in dataset,<b>Bermuda</b><br>ISO3: BMU<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BTN,Bhutan,No matching deaths-per-million record in dataset,<b>Bhutan</b><br>ISO3: BTN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BOL,Bolivia,No matching deaths-per-million record in dataset,<b>Bolivia</b><br>ISO3: BOL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BWA,Botswana,No matching deaths-per-million record in dataset,<b>Botswana</b><br>ISO3: BWA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
IOT,Br. Indian Ocean Ter.,No matching deaths-per-million record in dataset,<b>Br. Indian Ocean Ter.</b><br>ISO3: IOT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
VGB,British Virgin Is.,No matching deaths-per-million record in dataset,<b>British Virgin Is.</b><br>ISO3: VGB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BRN,Brunei,No matching deaths-per-million record in dataset,<b>Brunei</b><br>ISO3: BRN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BDI,Burundi,No matching deaths-per-million record in dataset,<b>Burundi</b><br>ISO3: BDI<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CPV,Cabo Verde,No matching deaths-per-million record in dataset,<b>Cabo Verde</b><br>ISO3: CPV<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
KHM,Cambodia,No matching deaths-per-million record in dataset,<b>Cambodia</b><br>ISO3: KHM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CMR,Cameroon,No matching deaths-per-million record in dataset,<b>Cameroon</b><br>ISO3: CMR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CYM,Cayman Is.,No matching deaths-per-million record in dataset,<b>Cayman Is.</b><br>ISO3: CYM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CAF,Central African Rep.,No matching deaths-per-million record in dataset,<b>Central African Rep.</b><br>ISO3: CAF<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TCD,Chad,No matching deaths-per-million record in dataset,<b>Chad</b><br>ISO3: TCD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
COM,Comoros,No matching deaths-per-million record in dataset,<b>Comoros</b><br>ISO3: COM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
COG,Congo,No matching deaths-per-million record in dataset,<b>Congo</b><br>ISO3: COG<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
COK,Cook Is.,No matching deaths-per-million record in dataset,<b>Cook Is.</b><br>ISO3: COK<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CUB,Cuba,No matching deaths-per-million record in dataset,<b>Cuba</b><br>ISO3: CUB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CUW,Curaçao,No matching deaths-per-million record in dataset,<b>Curaçao</b><br>ISO3: CUW<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CYP,Cyprus,No matching deaths-per-million record in dataset,<b>Cyprus</b><br>ISO3: CYP<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CZE,Czechia,No matching deaths-per-million record in dataset,<b>Czechia</b><br>ISO3: CZE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CIV,Côte d'Ivoire,No matching deaths-per-million record in dataset,<b>Côte d'Ivoire</b><br>ISO3: CIV<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
COD,Dem. Rep. Congo,No matching deaths-per-million record in dataset,<b>Dem. Rep. Congo</b><br>ISO3: COD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
DMA,Dominica,No matching deaths-per-million record in dataset,<b>Dominica</b><br>ISO3: DMA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GNQ,Eq. Guinea,No matching deaths-per-million record in dataset,<b>Eq. Guinea</b><br>ISO3: GNQ<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ERI,Eritrea,No matching deaths-per-million record in dataset,<b>Eritrea</b><br>ISO3: ERI<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
FRO,Faeroe Is.,No matching deaths-per-million record in dataset,<b>Faeroe Is.</b><br>ISO3: FRO<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
FLK,Falkland Is.,No matching deaths-per-million record in dataset,<b>Falkland Is.</b><br>ISO3: FLK<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
FIN,Finland,No matching deaths-per-million record in dataset,<b>Finland</b><br>ISO3: FIN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PYF,Fr. Polynesia,No matching deaths-per-million record in dataset,<b>Fr. Polynesia</b><br>ISO3: PYF<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ATF,Fr. S. Antarctic Lands,No matching deaths-per-million record in dataset,<b>Fr. S. Antarctic Lands</b><br>ISO3: ATF<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
FRA,France,No matching deaths-per-million record in dataset,<b>France</b><br>ISO3: FRA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GAB,Gabon,No matching deaths-per-million record in dataset,<b>Gabon</b><br>ISO3: GAB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
DEU,Germany,No matching deaths-per-million record in dataset,<b>Germany</b><br>ISO3: DEU<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GRL,Greenland,No matching deaths-per-million record in dataset,<b>Greenland</b><br>ISO3: GRL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GRD,Grenada,No matching deaths-per-million record in dataset,<b>Grenada</b><br>ISO3: GRD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GUM,Guam,No matching deaths-per-million record in dataset,<b>Guam</b><br>ISO3: GUM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GTM,Guatemala,No matching deaths-per-million record in dataset,<b>Guatemala</b><br>ISO3: GTM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GGY,Guernsey,No matching deaths-per-million record in dataset,<b>Guernsey</b><br>ISO3: GGY<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GIN,Guinea,No matching deaths-per-million record in dataset,<b>Guinea</b><br>ISO3: GIN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GNB,Guinea-Bissau,No matching deaths-per-million record in dataset,<b>Guinea-Bissau</b><br>ISO3: GNB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
GUY,Guyana,No matching deaths-per-million record in dataset,<b>Guyana</b><br>ISO3: GUY<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
HMD,Heard I. and McDonald Is.,No matching deaths-per-million record in dataset,<b>Heard I. and McDonald Is.</b><br>ISO3: HMD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
HND,Honduras,No matching deaths-per-million record in dataset,<b>Honduras</b><br>ISO3: HND<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
HKG,Hong Kong,No matching deaths-per-million record in dataset,<b>Hong Kong</b><br>ISO3: HKG<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
IOA,Indian Ocean Ter.,No matching deaths-per-million record in dataset,<b>Indian Ocean Ter.</b><br>ISO3: IOA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
IRQ,Iraq,No matching deaths-per-million record in dataset,<b>Iraq</b><br>ISO3: IRQ<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
IMN,Isle of Man,No matching deaths-per-million record in dataset,<b>Isle of Man</b><br>ISO3: IMN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
JAM,Jamaica,No matching deaths-per-million record in dataset,<b>Jamaica</b><br>ISO3: JAM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
